country,major_area,region,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,year 2024,change_2017_24,change_21_22
Belize,Latin America and the Caribbean,Central America,7.62,12.44,29.56,37.39,41.45,40.65,43.13,44.74,487.1,-1.93
Costa Rica,Latin America and the Caribbean,Central America,8.03,12.73,23.91,37.72,57.27,57.73,79.90,96.65,1103.6,0.80
El Salvador,Latin America and the Caribbean,Central America,6.82,8.17,11.89,16.18,26.41,26.03,48.94,55.77,717.7,-1.44
Guatemala,Latin America and the Caribbean,Central America,8.86,8.27,11.75,14.96,23.82,25.52,43.81,52.32,490.5,7.14
Honduras,Latin America and the Caribbean,Central America,6.24,7.39,12.92,17.71,26.17,28.56,37.42,50.52,709.6,9.13
Mexico,Latin America and the Caribbean,Central America,19.20,22.40,31.86,42.27,53.04,48.45,61.37,79.31,313.1,-8.65
Nicaragua,Latin America and the Caribbean,Central America,5.62,6.71,8.02,17.36,30.26,41.15,51.22,59.51,958.9,35.99
Panama,Latin America and the Caribbean,Central America,29.32,34.24,76.09,98.59,131.35,107.86,147.32,151.94,418.2,-17.88
